GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
255663475,20130605,201306,2013,2013.4247,EDU,STUDENT,,,,,,EDU,,, ,,,,,,,,,,0,141,141,14,3,-6.5,6,1,6,1.66223404255319,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,20130605,http://www.bbc.co.uk/news/world-europe-22753761
255683531,20130605,201306,2013,2013.4247,TUR,TURKISH,TUR,,,,,,,, ,,,,,,,,,,0,140,140,14,3,-6.5,2,1,2,2.22016651248844,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,20130605,"http://www.latimes.com/news/world/worldnow/la-fg-wn--turkey-protests-erdogan-20130604,0,5204944.story"
255683534,20130605,201306,2013,2013.4247,TUR,TURKEY,TUR,,,,,,,, ,,,,,,,,,,1,141,141,14,3,-6.5,27,4,27,0.697790124344952,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,20130605,http://learning.blogs.nytimes.com/2013/06/05/protests-erupt-across-turkey/?partner=rss&emc=rss
255674072,20130605,201306,2013,2013.4247,LAB,TRADE UNION,,,,,,LAB,,, ,,,,,,,,,,0,143,143,14,3,-6.5,1,1,1,2.32558139534884,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,20130605,http://news.yahoo.com/live-occupied-gezi-park-istanbul-turkish-protest-movement-214459911.html
255667402,20130605,201306,2013,2013.4247,GOV,GOVERNMENT,,,,,,GOV,,, ,,,,,,,,,,1,141,141,14,3,-6.5,2,1,2,1.17233294255569,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,20130605,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10888564&ref=rss
255679102,20130605,201306,2013,2013.4247,OPP,DEMONSTRATOR,,,,,,OPP,,, ,,,,,,,,,,1,141,141,14,3,-6.5,10,1,10,3.92156862745098,4,"Hatay, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,0,,,,,,,4,"Hatay, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,20130605,http://www.news.az/articles/80273
255667399,20130605,201306,2013,2013.4247,GOV,GOVERNMENT,,,,,,GOV,,, ,,,,,,,,,,0,141,141,14,3,-6.5,6,2,6,2.25182449085626,4,"Hatay, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,0,,,,,,,4,"Hatay, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,20130605,http://thestar.com.my/news/story.asp?file=/2013/6/5/worldupdates/turks-clash-with-police-despite-deputy-pms-apology&sec=Worldupdates
255658138,20130605,201306,2013,2013.4247,BUS,BANK,,,,,,BUS,,, ,,,,,,,,,,0,141,141,14,3,-6.5,7,1,7,1.17233294255569,4,"Dogus, Mardin, Turkey",TU,TU72,37.1953,41.0406,-746770,0,,,,,,,4,"Dogus, Mardin, Turkey",TU,TU72,37.1953,41.0406,-746770,20130605,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10888564&ref=rss
255674071,20130605,201306,2013,2013.4247,LAB,TRADE UNION,,,,,,LAB,,, ,,,,,,,,,,0,143,143,14,3,-6.5,4,1,4,1.92061459667093,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,0,,,,,,,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,20130605,"http://www.ynetnews.com/articles/0,7340,L-4388827,00.html"
255679101,20130605,201306,2013,2013.4247,OPP,PROTESTER,,,,,,OPP,,, ,,,,,,,,,,0,141,141,14,3,-6.5,15,3,15,1.51705122734434,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,0,,,,,,,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,20130605,http://www.adelaidenow.com.au/news/breaking-news/tear-gas-fired-in-turkey-amid-more-unrest/story-e6frea7u-1226658203077?from=public_rss
255683532,20130605,201306,2013,2013.4247,TUR,ISTANBUL,TUR,,,,,,,, ,,,,,,,,,,1,141,141,14,3,-6.5,19,5,19,2.40914779015393,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,0,,,,,,,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,20130605,http://www.france24.com/en/20130605-occupy-istanbul-park-protests-turkey-taksim-gezi-hurriyet?ns_campaign=editorial&ns_source=RSS_public&ns_mchannel=RSS&ns_fee=0&ns_linkname=20130605_occupy_istanbul_park_protests_turkey_taksim
255683533,20130605,201306,2013,2013.4247,TUR,ISTANBUL,TUR,,,,,,,, ,,,,,,,,,,1,141,141,14,3,-6.5,2,1,2,1.22950819672131,4,"Antakya, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,0,,,,,,,4,"Antakya, Hatay, Turkey",TU,TU31,36.2066,36.1572,-735345,20130605,http://www.bbc.co.uk/news/world-europe-22783127
255674075,20130605,201306,2013,2013.4247,LAB,TRADE UNION,,,,,,LAB,,, ,,,,,,,,,,0,143,143,14,3,-6.5,1,1,1,1.92061459667093,4,"Kizilay, Ankara, Turkey",TU,TU68,39.9213,32.8505,11239332,0,,,,,,,4,"Kizilay, Ankara, Turkey",TU,TU68,39.9213,32.8505,11239332,20130605,"http://www.ynetnews.com/articles/0,7340,L-4388827,00.html"
255674073,20130605,201306,2013,2013.4247,LAB,TRADE UNION,,,,,,LAB,,, ,,,,,,,,,,0,143,143,14,3,-6.5,1,1,1,2.32558139534884,4,"Gezi, Van, Turkey",TU,TU65,37.7667,44.2167,-749742,0,,,,,,,4,"Taksim, Istanbul, Turkey",TU,TU34,41.0333,28.9833,-772193,20130605,http://news.yahoo.com/live-occupied-gezi-park-istanbul-turkish-protest-movement-214459911.html
255674074,20130605,201306,2013,2013.4247,LAB,TRADE UNION,,,,,,LAB,,, ,,,,,,,,,,0,143,143,14,3,-6.5,3,1,3,2.32558139534884,4,"Taksim, Istanbul, Turkey",TU,TU34,41.0333,28.9833,-772193,0,,,,,,,4,"Taksim, Istanbul, Turkey",TU,TU34,41.0333,28.9833,-772193,20130605,http://news.yahoo.com/live-occupied-gezi-park-istanbul-turkish-protest-movement-214459911.html
255667403,20130605,201306,2013,2013.4247,GOV,GOVERNMENT,,,,,,GOV,,, ,,,,,,,,,,0,141,141,14,3,-6.5,5,1,5,0.48780487804878,4,"Tunceli, Tunceli, Turkey",TU,TU62,39.1083,39.5471,-773758,0,,,,,,,4,"Tunceli, Tunceli, Turkey",TU,TU62,39.1083,39.5471,-773758,20130605,http://www.haaretz.com/news/middle-east/live-blog-turkey-unrest-enters-day-six-1.527925?localLinksEnabled=false
255667401,20130605,201306,2013,2013.4247,GOV,PRESIDENT,,,,,,GOV,,, ,,,,,,,,,,0,141,141,14,3,-6.5,3,1,3,2.03527815468114,4,"Beyoglu, Istanbul, Turkey",TU,TU34,41.0369,28.9775,-739276,0,,,,,,,4,"Beyoglu, Istanbul, Turkey",TU,TU34,41.0369,28.9775,-739276,20130605,http://www.jpost.com/Opinion/Op-Ed-Contributors/When-Erdogan-returns-315567
255675773,20130605,201306,2013,2013.4247,MED,NEWSPAPER,,,,,,MED,,, ,,,,,,,,,,0,141,141,14,3,-6.5,10,1,10,1.17233294255569,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,0,,,,,,,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,20130605,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10888564&ref=rss
255679103,20130605,201306,2013,2013.4247,OPP,PROTESTER,,,,,,OPP,,, ,,,,,,,,,,1,141,141,14,3,-6.5,25,3,25,2.53910483683703,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,0,,,,,,,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,20130605,http://www.telegraph.co.uk/news/worldnews/europe/turkey/10099902/Turkey-protesters-arrested-in-Istanbul-after-clashes-with-police.html
255660839,20130605,201306,2013,2013.4247,COP,POLICE,,,,,,COP,,, ,,,,,,,,,,1,145,145,14,3,-7.5,5,1,5,2.1505376344086,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,0,,,,,,,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,20130605,http://www.philippinetimes.com/index.php/sid/215002053/scat/2411cd3571b4f088
255683536,20130605,201306,2013,2013.4247,TUR,TURKEY,TUR,,,,,,,, ,,,,,,,,,,1,141,141,14,3,-6.5,15,3,15,2.67141835399703,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,0,,,,,,,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,20130605,http://www.nationmultimedia.com/opinion/Does-all-this-sound-familiar-Brewing-our-own-Taksi-30207664.html
